stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
36.057705,Lew73st,-95.957934,6158,,,7298 S Lewis Ave & E 73Rd St S,S Lewis Ave&E 73Rd St S,0,
36.055647,Lew73st,-95.95794,6159,,,7480 S Lewis Ave & E 73Rd St S,S Lewis Ave&E 73Rd St S,0,
36.156506,FLAG68,-95.959146,6794,,,,3RD AND LEWIS EB,0,
36.15647,FLAG69,-95.958141,6795,,,,3RD AND LEWIS SB,0,
36.160642,FLAG68,-95.931416,6793,,,,PITTSBURGH AND ADMRIAL OUTBOUND,0,
36.053369,COLLBACD,-95.793564,6799,,,,COLLBACD,0,
36.109081,38stMpwd,-95.905562,5854,,,6266 E 38th St S & S Maplewood Ave,E 38th St S&S Maplewood Ave,0,
36.148314,Utic11st,-95.96702,5855,,,1051 S Utica Ave & E 11th St S,S Utica Ave&E 11th St S,0,
36.146219,Utic12st,-95.967189,5856,,,1183 S Utica Ave & E 12th St S,S Utica Ave&E 12th St S,0,
36.145453,Utic12st,-95.967205,5857,,,1234 S Utica Ave & E 12th St S,S Utica Ave&E 12th St S,0,
36.121423,Sher30st,-95.904476,5850,,,2971 S Sheridan Rd & E 30th St S,S Sheridan Rd&E 30th St S,0,
36.11963,Sher31st,-95.904437,5851,,,3069 S Sheridan Rd & E 31st St S,S Sheridan Rd&E 31st St S,0,
36.104804,Sher41st,-95.904396,5852,,,4081 S Sheridan Rd & E 41st St S,E 41ST ST S&S SHERIDAN RD,0,
36.106734,Sher40st,-95.90465,5853,,,4006 S Sheridan Rd & E 40Th St S,S Sheridan Rd&E 40Th St S,0,
36.144561,Utic13st,-95.967024,5858,,,1299 S Utica Ave & E 13th St S,S Utica Ave&E 13th St S,0,
36.142126,Utic14st,-95.967285,5859,,,1406 S Utica Ave & E 14th St S,S Utica Ave&E 14th St S,0,
36.046921,WLM 81ST,-95.960904,276,,,S YORKTOWN AVE & E 81ST ST S,81st Street Wal-Mart,0,
36.16043,Adm/129,-95.833195,2264,,,S 129TH E AVE & E ADMIRAL PL,E Admiral Pl&N 129th E Ave,0,
36.061051,71st101a,-95.86386,6378,,,10085 E 71St St S & S 101St E Ave,E 71St St S&S 101St E Ave,0,
36.060557,71stRivD,-95.974849,6379,,,1334 E 71St St S & Riverside Dr,E 71St St S&Riverside Dr,0,
36.060719,71st73av,-95.891954,6371,,,7652 E 71St St S & S 73Rd E Ave,E 71St St S&S 73Rd E Ave,0,
36.061015,71st77av,-95.891689,6372,,,7677 E 71St St S & S 77Th E Ave,E 71St St S&S 77Th E Ave,0,
36.061007,71st73av,-95.895833,6374,,,7263 E 71St St S & S 73Rd E Ave,E 71St St S&S 73Rd E Ave,0,
36.060991,71st70av,-95.89868,6375,,,6985 E 71St St S & S 70Th E Ave/E 71St Ct S,E 71St St S&S 70Th E Ave,0,
36.060758,71st69av,-95.900155,6376,,,6914 E 71St St S & S 69Th E Ave,E 71St St S&S 69Th E Ave,0,
36.060784,71st101a,-95.863396,6377,,,10266 E 71St St S & S 101St E Ave,E 71St St S&S 101St E Ave,0,
36.134468,Lew20st,-95.958161,6204,,,1965 S Lewis Ave & E 20Th St S,S Lewis Ave&E 20Th St S,0,
36.15811,Lew2st,-95.958047,6205,,,149 S Lewis Ave & E 2Nd St S,S Lewis Ave&E 2Nd St S,0,
36.134966,Lew19st,-95.958326,6206,,,1910 S Lewis Ave & E 19Th St S,S Lewis Ave&E 19Th St S,0,
36.136649,Lew17Pl,-95.958317,6207,,,1744 S Lewis Ave & E 17Th Pl S,S Lewis Ave&E 17Th Pl S,0,
36.128549,Lew24st,-95.958301,6200,,,,S Lewis Ave&E 24Th St S,0,
36.130767,Lew22Pl,-95.95817,6201,,,2275 S Lewis Ave & E 22Nd Pl S,S Lewis Ave&E 22Nd Pl S,0,
36.130407,Lew22Pl,-95.95827,6202,,,,S Lewis Ave&E 22Nd Pl S,0,
36.133566,Lew21st,-95.958173,6203,,,2059 S Lewis Ave & E 21St St S,S Lewis Ave&E 21St St S,0,
36.139011,Lew16st,-95.958161,6208,,,1585 S Lewis Ave & E 16Th St S,S Lewis Ave&E 16Th St S,0,
